state,transaction_year,quater,transaction_places,transaction_count,transaction_amount
madhya-pradesh,2020,3,neemuch district,806043,1532695172
madhya-pradesh,2020,3,raisen district,1624365,2628295544
madhya-pradesh,2020,3,mandsaur district,1213750,2435251645
madhya-pradesh,2020,3,barwani district,615021,1216096421
madhya-pradesh,2020,3,katni district,902355,1601344230
madhya-pradesh,2020,3,dindori district,362774,759222383
madhya-pradesh,2020,3,shivpuri district,918103,2176411286
madhya-pradesh,2020,3,gwalior district,3978884,7817520356
madhya-pradesh,2020,3,anuppur district,664283,1208285677
madhya-pradesh,2020,3,agar malwa district,488774,1136830442
madhya-pradesh,2020,3,ashoknagar district,482485,1045446572
madhya-pradesh,2020,3,sagar district,2022389,3708622884
madhya-pradesh,2020,3,niwari district,193815,392982412
madhya-pradesh,2020,3,rewa district,2086383,3959365505
madhya-pradesh,2020,3,shajapur district,1095702,2192556605
madhya-pradesh,2020,3,ujjain district,2921971,5297389626
madhya-pradesh,2020,3,bhind district,979454,2048190964
madhya-pradesh,2020,3,tikamgarh district,491496,959433739
madhya-pradesh,2020,3,seoni district,1053694,2089162276
madhya-pradesh,2020,3,harda district,500606,931935805
madhya-pradesh,2020,3,burhanpur district,572555,1021350623
madhya-pradesh,2020,3,damoh district,570162,1143180966
madhya-pradesh,2020,3,bhopal district,29560361,57525605025
madhya-pradesh,2020,3,jhabua district,373102,726655151
madhya-pradesh,2020,3,dhar district,2527639,4260243322
madhya-pradesh,2020,3,guna district,1133377,2443104469
madhya-pradesh,2020,3,east nimar district,1094471,1837941946
madhya-pradesh,2020,3,chhindwara district,2113701,3726188140
madhya-pradesh,2020,3,umaria district,421809,769775751
madhya-pradesh,2020,3,mandla district,574815,1031317389
madhya-pradesh,2020,3,indore district,17544816,31851463020
madhya-pradesh,2020,3,shahdol district,971434,1856954171
madhya-pradesh,2020,3,ratlam district,1510708,3061414644
madhya-pradesh,2020,3,panna district,475441,957142671
madhya-pradesh,2020,3,chhatarpur district,946814,1935232278
madhya-pradesh,2020,4,morena district,1558956,3953477371
madhya-pradesh,2020,4,alirajpur district,218291,424965978
madhya-pradesh,2020,4,sehore district,3633263,6071266571
madhya-pradesh,2020,4,rajgarh district,2246137,4772213369
madhya-pradesh,2020,4,khargone district,2316421,4494479655
madhya-pradesh,2020,4,satna district,2441893,4730850081
madhya-pradesh,2020,4,narsinghpur district,1564453,3012480790
madhya-pradesh,2020,4,jabalpur district,5245511,9769636688
madhya-pradesh,2020,4,hoshangabad district,2019683,3611030904
madhya-pradesh,2020,4,vidisha district,2048942,3935091664
madhya-pradesh,2020,4,balaghat district,2264084,4327237253
madhya-pradesh,2020,4,singrauli district,2307583,4532106287
madhya-pradesh,2020,4,betul district,2338983,4155886908
